,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor,status,stamped team
74,2-s2.0-85110396522,,,,Assessing the resilience of an electrified transportation network considering failures of charging stations,cp,Conference Paper,Wang H.,60106017;60030506;60023256,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano,Gif-sur-Yvette;Paris;Milan,France;France;Italy,4,"Wang, Hongping;Fang, Yi Ping;Abdin, Islam;Zio, Enrico",57211369090;55659850100;57195247313;7005289082,60106017;60106017;60106017;60023256-60030506,2020-01-01,2020,"30th European Safety and Reliability Conference, ESREL 2020 and 15th Probabilistic Safety Assessment and Management Conference, PSAM 2020",,21101052804,,Conference Proceeding,,,,3742-3749,"Many nations are trying to accelerate the deployment of electric vehicles (EVs) on their road networks, in an effort to relieve greenhouse gas emission and shortage of fossil fuels. The number of EVs and charging facilities is expected to increase significantly in the near future, making the existing transportation systems increasingly coupled with the electrical power systems. These growing couplings may bring new stresses and risks to both systems. However, the failure of electric vehicles charging facilities have not been considered. In this context, this paper investigates the resilience of an electrified transportation network (ETN) under potential failures of its supporting charging facilities. Specifically, a two-staged system optimal dynamic traffic assignment model is proposed to describe characteristics of an ETN such as the configuration of charging stations, travel ranges of EVs and the state of charge of EVs. This model is based on the cell transmission model (CTM) and two metrics are presented to quantify the ETN performance under the scenario of charging facility failures. A numerical example is studied to demonstrate the effectiveness of the proposed ETN resilience analysis framework.",Cell transmission model | Charging stations | Dynamic traffic assignment | Electric vehicles | Electrified transportation network | Resilience analysis,0,0,,,MIUR,2018-2022,"Ministero dell’Istruzione, dell’Università e della Ricerca",Already existed in HAL!,Already existed in the stamped team!
75,2-s2.0-85110338128,,,,Adopting a robust attitude: Risk-constrained decisions and knowledge acquisition,cp,Conference Paper,Fauriat W.,60106017,Université Paris-Saclay,Gif-sur-Yvette,France,1,"Fauriat, William",42961387300,60106017,2020-01-01,2020,"30th European Safety and Reliability Conference, ESREL 2020 and 15th Probabilistic Safety Assessment and Management Conference, PSAM 2020",,21101052804,,Conference Proceeding,,,,4501-4507,"Good decisions, in design or operation stages, positively impact system performances and can prevent it form suffering undesired scenarios and their consequences, in a uncertain environment. Using Robust Optimization (RO), a so-called chance-constraint, here denoted as risk-constraint as it embeds the preferences of the decision maker with respect to risk tolerance, can be enforced to ensure that the obtained solution of the decision problem is acceptable in this regard. Yet, this solution will only be as good as the knowledge of the uncertain environment that is used in the decision-making process. In this paper, we study the possibility for the decision-maker to refine its knowledge of the system in its operating environment, through information collection. The concept of Value of Information (VoI) is used to quantify potential improvements in decisions outcomes that may be achieved through a modification of the state of knowledge and a reduction in uncertainty. In particular, using decisions that are conditioned on an environment with reduced uncertainty, it is often possible to lower the level of risk for a given total operating cost (or Value-at-Risk) or vice versa. Hence, in a wide sense, knowledge acquisition may represent a step towards adopting a more robust attitude, with respect to risk, when making decisions.",Chance-constrained optimization | Decision-making under uncertainty | Model uncertainty | Robust optimization | Value of information | Value-at-Risk,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
76,2-s2.0-85110312423,,,,Performance analysis of redundant safety-instrumented systems considering the imprecision of information in proof tests,cp,Conference Paper,Zhang A.,60106017;60013141;60011739,Université Paris-Saclay;Norges Teknisk-Naturvitenskapelige Universitet;Politechnika Lubelska,Gif-sur-Yvette;Trondheim;Lublin,France;Norway;Poland,5,"Zhang, Aibo;Srivastav, Himanshu;Barros, Anne;Mazurkiewicz, Dariusz;Liu, Yiliu",57204952478;57204949765;7102745133;20434169200;57225003303,60013141;60013141;60013141-60106017;60011739;60013141,2020-01-01,2020,"30th European Safety and Reliability Conference, ESREL 2020 and 15th Probabilistic Safety Assessment and Management Conference, PSAM 2020",,21101052804,,Conference Proceeding,,,,3561-3568,"Safety-instrumented systems (SISs) are widely used to prevent hazardous events. The mechanical units of SISs can become vulnerable with time due to specific deterioration processes, which lead to a degrading system performance. Such phenomenon thus challenges the assumption of constant failure rate or exponentially distributed lifetime that the existing reliability analysis depends on. Meanwhile, redundant architecture is widely used to improve system availability and guarantee system performance meeting specific requirement, and periodic proof tests are executed to check system status. Given the unavoidable deterioration processes, an intermediate state of one unit can be observed to facilitate system performance analysis. Such a unit has three states according to the actual performance in proof tests, including working, degraded and failed states. This study aims to assess the performance of a 1-out-of-2 redundant system subject to degrading units. Different maintenance strategies are adopted to estimate system performance and cumulative maintenance cost, the two criteria in system lifecycle assessment after installation. A numerical example is conducted to illustrate the mentioned redundant system performance and maintenance strategies.",Multiphase markov process | PFDavg | Redundant structure | Safety-instrumented system | Three-state unit,0,0,,,CSC,201706440015,China Scholarship Council,Already existed in HAL!,Already existed in the stamped team!
77,2-s2.0-85110258317,,,,Preventive maintenance of a compressor station: A modeling framework for the assessment of performance,cp,Conference Paper,Arismendi R.,60106066;60023736;60013141,Laboratoire Génie Industriel;Université de Technologie de Troyes;Norges Teknisk-Naturvitenskapelige Universitet,Chatenay-Malabry;Troyes;Trondheim,France;France;Norway,3,"Arismendi, Renny;Barros, Anne;Grall, Antoine",57218438921;7102745133;6701840942,60013141;60106066;60023736,2020-01-01,2020,"30th European Safety and Reliability Conference, ESREL 2020 and 15th Probabilistic Safety Assessment and Management Conference, PSAM 2020",,21101052804,,Conference Proceeding,,,,2931-2937,"Compressor stations are an essential part of natural gas networks, enabling the transportation of natural gas from producing wells to the final users. An efficient scheduling of maintenance tasks is key for ensuring high availability of the system and avoiding production losses and high costs from over expending. The demand of natural gas is highly dependent on weather and seasonal conditions, being higher during winter and lower during summer. Thus, the operation of the compressor stations alternates between periods of full capacity and periods of reduced capacity. The optimal planning of maintenance tasks needs to take into account such constraints from the production plans. Currently, preventive maintenance tasks are usually carried out periodically, following a calendar-based strategy. This maintenance strategy can be improved by moving to predictive maintenance in which the decisions are based on prognostics that consider both the deterioration of the system and the production profile. This work explores on the application of Piecewise-deterministic Markov Process (PDMP) as a framework for the optimization problem. The system level model captures the deterioration process of the units, the condition monitoring techniques, maintenance strategies and production profile in order to assess the performance of a maintenance strategy.",Compressor | Maintenance modeling | Natural gas | Numerical approach | Piecewise-deterministic Markov process | Preventive maintenance,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
78,2-s2.0-85107316169,10.3850/978-981-14-8593-0_5033-cd,,,Preventive maintenance of a compressor station: A modeling framework for the assessment of performance,cp,Conference Paper,Arismendi R.,60106066;60023736;60013141,Laboratoire Génie Industriel;Université de Technologie de Troyes;Norges Teknisk-Naturvitenskapelige Universitet,Chatenay-Malabry;Troyes;Trondheim,France;France;Norway,3,"Arismendi, Renny;Barros, Anne;Grall, Antoine",57218438921;7102745133;6701840942,60013141;60106066;60023736,2020-01-01,2020,Proceedings of the 30th European Safety and Reliability Conference and the 15th Probabilistic Safety Assessment and Management Conference,,21101047660,,Conference Proceeding,,,,2931-2937,"Compressor stations are an essential part of natural gas networks, enabling the transportation of natural gas from producing wells to the final users. An efficient scheduling of maintenance tasks is key for ensuring high availability of the system and avoiding production losses and high costs from over expending. The demand of natural gas is highly dependent on weather and seasonal conditions, being higher during winter and lower during summer. Thus, the operation of the compressor stations alternates between periods of full capacity and periods of reduced capacity. The optimal planning of maintenance tasks needs to take into account such constraints from the production plans. Currently, preventive maintenance tasks are usually carried out periodically, following a calendar-based strategy. This maintenance strategy can be improved by moving to predictive maintenance in which the decisions are based on prognostics that consider both the deterioration of the system and the production profile. This work explores on the application of Piecewise-deterministic Markov Process (PDMP) as a framework for the optimization problem. The system level model captures the deterioration process of the units, the condition monitoring techniques, maintenance strategies and production profile in order to assess the performance of a maintenance strategy.",Compressor | Maintenance modeling | Natural gas | Numerical approach | Piecewise-deterministic Markov process | Preventive maintenance,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
79,2-s2.0-85107313576,10.3850/978-981-14-8593-0_4483-cd,,,Performance analysis of redundant safety-instrumented systems considering the imprecision of information in proof tests,cp,Conference Paper,Zhang A.,60106017;60013141;60011739,Université Paris-Saclay;Norges Teknisk-Naturvitenskapelige Universitet;Politechnika Lubelska,Gif-sur-Yvette;Trondheim;Lublin,France;Norway;Poland,5,"Zhang, Aibo;Srivastav, Himanshu;Barros, Anne;Mazurkiewicz, Dariusz;Liu, Yiliu",57204952478;57204949765;7102745133;20434169200;57225003303,60013141;60013141;60013141-60106017;60011739;60013141,2020-01-01,2020,Proceedings of the 30th European Safety and Reliability Conference and the 15th Probabilistic Safety Assessment and Management Conference,,21101047660,,Conference Proceeding,,,,3561-3568,"Safety-instrumented systems (SISs) are widely used to prevent hazardous events. The mechanical units of SISs can become vulnerable with time due to specific deterioration processes, which lead to a degrading system performance. Such phenomenon thus challenges the assumption of constant failure rate or exponentially distributed lifetime that the existing reliability analysis depends on. Meanwhile, redundant architecture is widely used to improve system availability and guarantee system performance meeting specific requirement, and periodic proof tests are executed to check system status. Given the unavoidable deterioration processes, an intermediate state of one unit can be observed to facilitate system performance analysis. Such a unit has three states according to the actual performance in proof tests, including working, degraded and failed states. This study aims to assess the performance of a 1-out-of-2 redundant system subject to degrading units. Different maintenance strategies are adopted to estimate system performance and cumulative maintenance cost, the two criteria in system lifecycle assessment after installation. A numerical example is conducted to illustrate the mentioned redundant system performance and maintenance strategies.",Multiphase Markov process | PFDavg | Redundant structure | Safety-instrumented system | Three-state unit,0,0,,,CSC,201706440015,China Scholarship Council,Already existed in HAL!,Already existed in the stamped team!
80,2-s2.0-85107311196,10.3850/978-981-14-8593-0_4069-cd,,,Assessing the resilience of an electrified transportation network considering failures of charging stations,cp,Conference Paper,Wang H.,60106017;60030506;60023256,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano,Gif-sur-Yvette;Paris;Milan,France;France;Italy,4,"Wang, Hongping;Fang, Yi Ping;Abdin, Islam;Zio, Enrico",57211369090;55659850100;57195247313;7005289082,60106017;60106017;60106017;60023256-60030506,2020-01-01,2020,Proceedings of the 30th European Safety and Reliability Conference and the 15th Probabilistic Safety Assessment and Management Conference,,21101047660,,Conference Proceeding,,,,3742-3749,"Many nations are trying to accelerate the deployment of electric vehicles (EVs) on their road networks, in an effort to relieve greenhouse gas emission and shortage of fossil fuels. The number of EVs and charging facilities is expected to increase significantly in the near future, making the existing transportation systems increasingly coupled with the electrical power systems. These growing couplings may bring new stresses and risks to both systems. However, the failure of electric vehicles charging facilities have not been considered. In this context, this paper investigates the resilience of an electrified transportation network (ETN) under potential failures of its supporting charging facilities. Specifically, a two-staged system optimal dynamic traffic assignment model is proposed to describe characteristics of an ETN such as the configuration of charging stations, travel ranges of EVs and the state of charge of EVs. This model is based on the cell transmission model (CTM) and two metrics are presented to quantify the ETN performance under the scenario of charging facility failures. A numerical example is studied to demonstrate the effectiveness of the proposed ETN resilience analysis framework.",Cell transmission model | Charging stations | Dynamic traffic assignment | Electric vehicles | Electrified transportation network | Resilience analysis,0,0,repositoryam,Green,MIUR,2018-2022,"Ministero dell’Istruzione, dell’Università e della Ricerca",Already existed in HAL!,Already existed in the stamped team!
81,2-s2.0-85107301162,10.3850/978-981-14-8593-0_4995-cd,,,Resilience analysis of multistate energy system with time-dependent behaviors,cp,Conference Paper,Du S.,60106017;60013789,Université Paris-Saclay;Beihang University,Gif-sur-Yvette;Beijing,France;China,2,"Du, Shijia;Zeng, Zhiguo",55353331800;55348807500,60013789;60106017,2020-01-01,2020,Proceedings of the 30th European Safety and Reliability Conference and the 15th Probabilistic Safety Assessment and Management Conference,,21101047660,,Conference Proceeding,,,,3821,"Resilience of modern energy systems has attracted more and more attentions in recent years, as modern energy systems are vulnerable to various disruptive events (e.g., hurricanes, windstorms, earthquakes, intentional cyber attacks). Most of the existing resilience quantification methods assume that the performance level of the system is continuous. A lot of practical energy systems, however, are multistate in nature or needs to be modeled by multistate models to control the modelling/computational complexity (Levitin, 2011). There are only a few works regarding quantifying resilience using multistate models. Thekdi and Chatterjee (2019) developed a multistate hidden Markov model to quantify resilience of infrastructure systems and discussed decision making based on the model. Nuss et al. (2017) used a continuous time discrete state Markov model to quantify the resilience against disruptions considering the multistate engineering system behaviors of unmanned surface vessels to support system design selection during trade studies. In a previous research of the authors (Du et al., 2019), a Markov reward process-based model is developed for quantifying resistant, absorption, recovery and overall resilience. All the above mentioned works are based on Markov (or hidden Markov) models. A significant drawback of these Markov model-based methods is that they have to assume that the transition times among states follow exponential distributions. Practical systems, however, exhibit a variety of time-dependent behaviors, which cannot be adequately described using only exponential distributions. In this paper, we develop a Semi-Markov reward process-based approach to quantify resilience of multistate systems, considering the time-dependent behaviors of both the pre-disruption protection processes and the post-disruption recovery processes. Four numerical metrics are defined to quantify resilience based on the developed model. The model is applied to analyze the resilience of a crude oil storage tank farm.",Multistate system | Resilience | Semi-Markov process | Time-dependent behaviors,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
82,2-s2.0-85107300622,10.3850/978-981-14-8593-0_4273-cd,,,Adopting a robust attitude: Risk-constrained decisions and knowledge acquisition,cp,Conference Paper,Fauriat W.,60106017,Université Paris-Saclay,Gif-sur-Yvette,France,1,"Fauriat, William",42961387300,60106017,2020-01-01,2020,Proceedings of the 30th European Safety and Reliability Conference and the 15th Probabilistic Safety Assessment and Management Conference,,21101047660,,Conference Proceeding,,,,4501-4507,"Good decisions, in design or operation stages, positively impact system performances and can prevent it form suffering undesired scenarios and their consequences, in a uncertain environment. Using Robust Optimization (RO), a so-called chance-constraint, here denoted as risk-constraint as it embeds the preferences of the decision maker with respect to risk tolerance, can be enforced to ensure that the obtained solution of the decision problem is acceptable in this regard. Yet, this solution will only be as good as the knowledge of the uncertain environment that is used in the decision-making process. In this paper, we study the possibility for the decision-maker to refine its knowledge of the system in its operating environment, through information collection. The concept of Value of Information (VoI) is used to quantify potential improvements in decisions outcomes that may be achieved through a modification of the state of knowledge and a reduction in uncertainty. In particular, using decisions that are conditioned on an environment with reduced uncertainty, it is often possible to lower the level of risk for a given total operating cost (or Value-at-Risk) or vice versa. Hence, in a wide sense, knowledge acquisition may represent a step towards adopting a more robust attitude, with respect to risk, when making decisions.",Chance-constrained optimization | Decision-making under uncertainty | Model uncertainty | Robust Optimization | Value of Information | Value-at-Risk,0,0,repositoryvor,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
83,2-s2.0-85089334599,10.1007/978-3-030-42726-9_8,,,Review on health indices extraction and trend modeling for remaining useful life estimation,ch,Book Chapter,Djeziri M.A.,60210090;60106017;60068749;60023256,Laboratoire d’Informatique et Systèmes;Université Paris-Saclay;Université Badji Mokhtar - Annaba;Politecnico di Milano,Marseille;Gif-sur-Yvette;Annaba;Milan,France;France;Algeria;Italy,3,"Djeziri, Mohand Arab;Benmoussa, Samir;Zio, Enrico",15839204800;36501152200;7005289082,60210090;60068749;60023256-60106017,2020-01-01,1 January 2020,"Artificial Intelligence Techniques for a Scalable Energy Transition: Advanced Methods, Digital Technologies, Decision Support Tools, and Applications",,21101019453,,Book,,,,183-223,"Scientific research in the area of fault prognosis is increasingly focused on estimating the Remaining Useful Life of equipment, since its knowledge is a key input to the scheduling of Condition-Based and Predictive Maintenance. Several research studies have been directed to developing methods for modeling the trend of health indicators for Remaining Useful Life estimation, this paper makes a review of these approaches. Fault diagnosis methods sensitive to the progressive evolution of degradation phenomena are presented and their usability for fault prognosis is discussed. Then, methods for modeling the trends of health indicators are analyzed to highlight the selection criteria of the modeling methods, according to the available information on the operating conditions of the systems, and on the degradation phenomenon. Finally, some reflections are made regarding the elements that prevent the large-scale use of prognostics in industry today, and on the integration of prognostics in risk assessment and management.",Data-driven approaches | Fault diagnosis | Fault prognosis | Model-based approaches | Remaining useful life,24,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
84,2-s2.0-85089195135,10.3850/978-981-11-2724-30977-cd,,,Resilience management of infrastructure systems from a multistage decision making perspective,cp,Conference Paper,Fang Y.P.,60106017;60030506;60023256,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano,Gif-sur-Yvette;Paris;Milan,France;France;Italy,2,"Fang, Yi Ping;Zio, Enrico",55659850100;7005289082,60106017;60023256-60030506,2020-01-01,2020,"Proceedings of the 29th European Safety and Reliability Conference, ESREL 2019",,21101019325,,Conference Proceeding,,,,3382-3389,"The paper investigates how resilience can be understood as an operational paradigm for system management from a multistage decision making perspective. Specifically, agents involved in the resilience management aim at an optimum process of sequential preparedness/protection, emergency response, recovery, and adaptation activities, trading off the loss due to lack of system functionality with the needed investment. Agents' decisions are made sequentially aiming at minimizing the overall system loss in the presence of numerous uncertainties in the intensity of the disruption, post-disruption demand, repair durations, etc. We restrict the actions to only depend on uncertain parameters realized up to the current decision period. This process can be formulated as a multi-stage optimization problem. We discuss how the linear decision rule approximation can be used to overcome the curse of the computational complexity of the problem and to derive operationally implementable policies. By referring to a simple example of a notional infrastructure, we demonstrate that the proposed approach helps providing a holistic view of resilience management and deriving optimal actions and policies for resilience enhancement.",Infrastructure systems | Multistage decision making | Resilience management,2,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
85,2-s2.0-85089179250,10.3850/978-981-11-2724-30979-cd,,,Assessing reliability reputation of products based on online customer reviews,cp,Conference Paper,Zeng Z.,60106017;60030506;60023256,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano,Gif-sur-Yvette;Paris;Milan,France;France;Italy,2,"Zeng, Zhiguo;Zio, Enrico",55348807500;7005289082,60106017;60030506-60023256,2020-01-01,2020,"Proceedings of the 29th European Safety and Reliability Conference, ESREL 2019",,21101019325,,Conference Proceeding,,,,157-162,"The traditional concept of functional reliability refers to the ability of an item to perform a required function without failure, under stated conditions for a stated period of time. Numerical indexes of functional reliability are estimated from laboratory test data or field failure data. Theses indexes are not always available to the customers. On the other hand, reliability reputation, which concerns the opinions of the general public regarding the functional performance of a given product, is dominant in affecting the purchase willingness of the customers. In this paper, we develop a new method for evaluating the reliability reputation of a given product. Numerical metrics are first defined to measure reliability reputation. Online customer's reviews are collected and used as data for reliability reputation assessment. Text mining algorithms are used to extract information regarding the reliability of the product and the maintenance service of the company. Finally, an integrated approach is proposed to evaluate the reliability reputation. A case study is conducted to demonstrate the validity of the developed methods.",Online reviews | Reliability assessment | Reliability reputation | Text mining | Web-based data,0,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
86,2-s2.0-85089172472,10.3850/978-981-11-2724-30743-cd,,,A zero-sum Markov defender-attacker game for modeling false pricing in smart grids and its solution by multi-agent reinforcement learning,cp,Conference Paper,Tang D.,60106017;60030506;60023256,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano,Gif-sur-Yvette;Paris;Milan,France;France;Italy,3,"Tang, Daogui;Fang, Yi Ping;Zio, Enrico",57158232900;55659850100;7005289082,60106017;60106017;60030506-60023256,2020-01-01,2020,"Proceedings of the 29th European Safety and Reliability Conference, ESREL 2019",,21101019325,,Conference Proceeding,,,,3285-3291,"Consumers in smart grids are expected to engage demand-response programs by two-way communication. This makes smart grids vulnerable to cyber attacks. In this paper, we study the false pricing attacks and model the interaction between attackers and defenders using a zero-sum Markov game, where neither player has full knowledge of the game model. A multi-agent reinforcement learning method is used to solve the Markov game and find the Nash Equilibrium policies for both players. An application to a simple radial power distribution system is worked out. The results show that the proposed algorithm can help the players find mixed strategies to maximize their long-term return.",Demand-response | False pricing attack | Game theory | Multi-agent reinforcement learning | Smart grids,2,0,,,,undefined,,Already existed in HAL!,Already existed in the stamped team!
87,2-s2.0-85088862023,10.3850/978-981-11-2724-3_0433-cd,,,Estimation of the value of prognostic information for condition-based and predictive maintenance,cp,Conference Paper,Fauriat W.,60106017;60030506;60023256,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano,Gif-sur-Yvette;Paris;Milan,France;France;Italy,2,"Fauriat, William;Zio, Enrico",42961387300;7005289082,60106017;60030506-60023256,2020-01-01,2020,"Proceedings of the 29th European Safety and Reliability Conference, ESREL 2019",,21101019325,,Conference Proceeding,,,,1171-1178,"For components subject to degradation, cost-efficient maintenance is necessary. Periodic or continuous collection of information, reducing uncertainty on the component's state of health, generally leads to a better-informed and, thus, more efficient maintenance. Processing condition monitoring data to estimate the current and future health states of the component, can prove valuable. In this paper, it is proposed to quantify the Value of Information (VoI) that may be obtained from state estimation and prediction procedures, with known precision, applied for condition-based and predictive maintenance. VoI is computed numerically using gamma process paths and on the basis of the optimization of the parameters of different maintenance strategies.",Condition-Based Maintenance | Maintenance optimization | Predictive Maintenance | Prognostics | Remaining Useful Life | Value of Information,2,0,repositoryam,Green,EDF,undefined,Electricité de France,Already existed in HAL!,Already existed in the stamped team!
88,2-s2.0-85072530616,10.1016/j.ssci.2019.08.043,S0925753519308227,,A new framework for multi-hazards risk aggregation,ar,Article,Bani-Mustafa T.,60106017;60030506;60029873;60023256;60001873,Université Paris-Saclay;Mines Paris - PSL;Electricité de France;Politecnico di Milano;Kyung Hee University,Gif-sur-Yvette;Paris;Paris;Milan;Seoul,France;France;France;Italy;South Korea,4,"Bani-Mustafa, Tasneem;Zeng, Zhiguo;Zio, Enrico;Vasseur, Dominique",57201984857;55348807500;7005289082;55919360700,60106017;60106017;60030506-60023256-60001873;60029873,2020-01-01,January 2020,Safety Science,09257535,12332,18791042,Journal,121,,,283-302,"In this paper, we develop a new method for Multi-Hazards Risk Aggregation (MHRA). A hierarchical framework is first developed for evaluating the trustworthiness of the risk assessment. The evaluation is based on two main attributes (criteria), i.e., the strength of knowledge supporting the assessment and the fidelity of the risk assessment model. These two attributes are further broken down into sub-attributes and, finally, leaf attributes. The trustworthiness is calculated using a weighted average of the leaf attributes, in which the weights are calculated using the Dempster Shafer Theory-Analytical Hierarchy Process (DST-AHP). Risk aggregation is, then, performed by a “weighted posterior” method, considering the level of trustworthiness. An application to the risk aggregation of two hazard groups in Nuclear Power Plants (NPP) is illustrated.",Multi-hazards risk aggregation (MHRA) | Nuclear power plants (NPP) | Quantitative risk assessment (QRA) | Risk-informed decision making | Strength of knowledge (SoK) | Trustworthiness in risk assessment,12,1,repositoryam,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
89,2-s2.0-85072563734,10.1016/j.ijdrr.2019.101334,S2212420919307630,,Dynamic business continuity assessment using condition monitoring data,ar,Article,Xing J.,60106017;60030506;60023256;60001873,Université Paris-Saclay;Mines Paris - PSL;Politecnico di Milano;Kyung Hee University,Gif-sur-Yvette;Paris;Milan;Seoul,France;France;Italy;South Korea,3,"Xing, Jinduo;Zeng, Zhiguo;Zio, Enrico",57193733355;55348807500;7005289082,60106017;60106017;60030506-60023256-60001873,2019-12-01,December 2019,International Journal of Disaster Risk Reduction,22124209,21100228018,,Journal,41,,101334,,"Concerns on the impacts of disruptive events of various nature on business operations have increased significantly during the past decades. In this respect, business continuity management (BCM) has been proposed as a comprehensive and proactive framework to prevent the disruptive events from impacting the business operations and reduce their potential damages. Most existing business continuity assessment (BCA) models that numerically quantify the business continuity are time-static, in the sense that the analysis done before operation is not updated to consider the aging and degradation of components and systems which influence their vulnerability and resistance to disruptive events. On the other hand, condition monitoring is more and more adopted in industry to maintain under control the state of components and systems. On this basis, in this work, a dynamic and quantitative method is proposed to integrate in BCA the information on the conditions of components and systems. Specifically, a particle filtering-based method is developed to integrate condition monitoring data on the safety barriers installed for system protection, to predict their reliability as their condition changes due to aging. An installment model and a stochastic price model are also employed to quantify the time-dependent revenues and tolerable losses from operating the system. A simulation model is developed to evaluate dynamic business continuity metrics originally introduced. A case study regarding a nuclear power plant (NPP) risk scenario is worked out to demonstrate the applicability of the proposed approach.",Business continuity management (BCM) | Condition monitoring | Dynamic business continuity assessment (DBCA) | Event tree (ET) | Particle filtering (PF) | Prognostic and health management (PHM),11,1,repositoryam,Green,CSC,201506450020,China Scholarship Council,Already existed in HAL!,Already existed in the stamped team!
90,2-s2.0-85070664759,10.1002/qre.2542,,,Importance analysis considering time-varying parameters and different perturbation occurrence times,ar,Article,Noroozian A.,60032053;60029873;60027666;60023256;60001873,Tarbiat Modares University;Electricité de France;Sharif University of Technology;Politecnico di Milano;Kyung Hee University,Tehran;Paris;Tehran;Milan;Seoul,Iran;France;Iran;Italy;South Korea,4,"Noroozian, Ali;Kazemzadeh, Reza Baradaran;Zio, Enrico;Niaki, Seyed Taghi Akhavan",57200273605;14834208000;7005289082;57193316997,60032053;60032053;60029873-60023256-60001873;60027666,2019-12-01,1 December 2019,Quality and Reliability Engineering International,07488017,19123,10991638,Journal,35,8,,2558-2578,"Importance measures are integral parts of risk assessment for risk-informed decision making. Because the parameters of a risk model, such as the component failure rates, are functions of time and a perturbation (change) in their values can occur during the mission time, time dependence must be considered in the evaluation of the importance measures. In this paper, it is shown that the change in system performance at time t, and consequently the importance of the parameters at time t, depends on the parameters perturbation time and their value functions during the system mission time. We consider a nonhomogeneous continuous time Markov model of a series-parallel system to propose the mathematical proofs and simulations, while the ideas are also shown to be consistent with general models having nonexponential failure rates. Two new measures of importance and a simulation scheme for their computation are introduced to account for the effect of perturbation time and time-varying parameters.",importance measures | Markov modeling | non-Poisson process | perturbation time | time-varying importance analysis | time-varying parameters,1,0,,,TMU,undefined,Tarbiat Modares University,Already existed in HAL!,Not existed in the stamped team!
91,2-s2.0-85067847007,10.1177/1748006X19852814,,,An adaptive particle swarm optimization method for multi-objective system reliability optimization,ar,Article,Mellal M.A.,60106017;60087352;60023256,Université Paris-Saclay;Université de Boumerdes;Politecnico di Milano,Gif-sur-Yvette;Boumerdes;Milan,France;Algeria;Italy,2,"Mellal, Mohamed Arezki;Zio, Enrico",55052930200;7005289082,60087352;60106017-60023256,2019-12-01,1 December 2019,"Proceedings of the Institution of Mechanical Engineers, Part O: Journal of Risk and Reliability",1748006X,19300157022,17480078,Journal,233,6,,990-1001,"Multi-objective system reliability optimization has attracted the attention of several researchers, due to its importance in industry. In practice, the optimization regards multiple objectives, for example, maximize the reliability, minimize the cost, weight, and volume. In this article, an adaptive particle swarm optimization is presented for multi-objective system reliability optimization. The approach uses a Lévy flight for some particles of the swarm, for avoiding local optima and insuring diversity in the exploration of the search space. The multi-objective problem is converted to a single-objective problem by resorting to the weighted-sum method and a penalty function is implemented to handle the constraints. Nine numerical case studies are presented as benchmark problems for comparison; the results show that the proposed approach has superior performance than a standard particle swarm optimization.",adaptive particle swarm optimization | Multi-objective optimization | reliability–redundancy optimization,33,0,repositoryam,Green,,undefined,,Already existed in HAL!,Already existed in the stamped team!
